book,chapter,start_verse,end_verse,starred
Genesis,1,27,,
Genesis,2,15,,
Genesis,3,15,,
Genesis,4,7,,
Genesis,6,5,6,
Genesis,12,1,3,
Genesis,15,6,,
Genesis,15,18,21,
Genesis,26,2,5,
Genesis,27,27,29,
Genesis,28,13,15,
Genesis,28,20,22,
Genesis,29,20,,
Genesis,32,28,,
Genesis,35,9,12,
Genesis,48,15,16,
Genesis,49,1,27,
Genesis,50,19,21,
Genesis,50,24,25,
Exodus,3,13,15,
Exodus,4,10,12,
Exodus,9,14,16,
Exodus,20,1,17,
Exodus,20,20,,
Exodus,21,5,6,
Exodus,24,9,11,
Exodus,29,45,46,
Exodus,31,18,,
Exodus,33,11,,
Exodus,34,6,7,
Leviticus,15,31,,
Leviticus,16,21,,
Leviticus,18,1,5,
Leviticus,18,22,30,
Leviticus,20,22,24,
Leviticus,22,31,33,
Leviticus,23,22,,
Leviticus,24,10,16,
Leviticus,25,35,38,
Leviticus,26,1,13,
Leviticus,26,14,46,
Numbers,6,24,26,
Numbers,12,6,8,
Numbers,14,13,19,
Numbers,14,21,,
Numbers,15,27,31,
Numbers,18,20,32,
Numbers,33,53,56,
Deuteronomy,1,39,,
Deuteronomy,4,1,8,
Deuteronomy,4,24,,
Deuteronomy,4,25,31,
Deuteronomy,4,32,40,
Deuteronomy,6,4,25,
Deuteronomy,7,1,5,
Deuteronomy,7,6,11,
Deuteronomy,7,12,26,
Deuteronomy,8,3,,
Deuteronomy,8,17,18,
Deuteronomy,9,4,8,
Deuteronomy,9,19,20,
Deuteronomy,9,24,,
Deuteronomy,10,12,22,
Deuteronomy,12,29,31,
Deuteronomy,15,4,6,
Deuteronomy,16,18,20,
Deuteronomy,17,14,20,
Deuteronomy,18,15,22,
Deuteronomy,19,9,,
Deuteronomy,26,5,10,
Deuteronomy,26,16,19,
Deuteronomy,27,,,
Deuteronomy,28,,,
Deuteronomy,28,52,57,
Deuteronomy,29,18,28,
Deuteronomy,30,11,20,
Deuteronomy,32,,,
Joshua,1,6,9,
Joshua,9,14,,
Joshua,16,10,,
Joshua,17,12,13,
